;Year;Engine HP;Engine Cylinders;Number of Doors;highway MPG;city mpg;Popularity;MSRP
DodgeIntrepid;2003.0;225.0;6.0;4.0;25.375;17.25;1851.0;23596.25
DodgeJourney;2015.967741935484;240.41935483870967;5.225806451612903;4.0;24.774193548387096;17.29032258064516;1851.0;28165.967741935485
DodgeMagnum;2007.0625;304.5625;7.125;4.0;22.3125;15.3125;1851.0;30826.875
DodgeMonaco;1991.0;150.0;6.0;4.0;24.0;15.666666666666666;1851.0;2000.0
DodgeNeon;2003.923076923077;155.07692307692307;4.0;4.0;30.53846153846154;23.153846153846153;1851.0;16448.846153846152
DodgeNitro;2010.25;226.66666666666666;6.0;4.0;21.25;15.666666666666666;1851.0;24705.0
DodgeOmni;1990.0;93.0;4.0;4.0;31.0;22.0;1851.0;2000.0
DodgeRAM 150;1992.05;183.0;6.8;2.0;16.05;11.95;1851.0;2002.275
DodgeRAM 250;1991.88;192.6;7.68;2.0;14.56;11.32;1851.0;2022.16
DodgeRam 50 Pickup;1991.6842105263158;121.63157894736842;4.421052631578948;2.0;21.263157894736842;16.57894736842105;1851.0;2000.0
DodgeRam Cargo;2002.0;195.0;6.8;3.0;15.133333333333333;12.733333333333333;1851.0;20806.0
DodgeRam Pickup 1500;2008.967741935484;309.6774193548387;7.709677419354839;3.225806451612903;18.258064516129032;13.370967741935484;1851.0;30622.822580645163
DodgeRam Van;1999.0833333333333;197.08333333333334;6.833333333333333;3.0;16.5;12.75;1851.0;2200.5833333333335
DodgeRam Wagon;2000.8;195.0;6.8;3.0;14.8;12.0;1851.0;14141.6
DodgeRamcharger;1992.090909090909;213.63636363636363;8.0;2.0;14.318181818181818;10.863636363636363;1851.0;2000.0
DodgeSRT Viper;2013.5;640.0;10.0;2.0;19.0;12.0;1851.0;102515.0
DodgeShadow;1992.6363636363637;106.9090909090909;4.0;2.727272727272727;28.0;21.181818181818183;1851.0;2000.0
DodgeSpirit;1993.75;100.5;4.0;4.0;26.5;20.25;1851.0;2000.0
DodgeStealth;1994.9;234.0;6.0;2.0;22.4;16.7;1851.0;2617.7
DodgeStratus;2004.5294117647059;181.52941176470588;5.294117647058823;3.2941176470588234;26.11764705882353;19.058823529411764;1851.0;21531.470588235294
DodgeViper;2016.0714285714287;645.0;10.0;2.0;20.285714285714285;12.0;1851.0;99709.28571428571
FIAT124 Spider;2017.0;160.0;4.0;2.0;35.0;26.0;819.0;26895.0
FIAT500;2015.8214285714287;116.07142857142857;4.0;2.0;36.57142857142857;29.25;819.0;20449.821428571428
FIAT500L;2015.8461538461538;160.0;4.0;4.0;31.846153846153847;23.846153846153847;819.0;22120.76923076923
FIAT500X;2016.4;177.33333333333334;4.0;4.0;30.533333333333335;21.933333333333334;819.0;24620.333333333332
FIAT500e;2016.0;;0.0;2.0;104.66666666666667;121.33333333333333;819.0;31800.0
Ferrari360;2003.076923076923;401.9230769230769;8.0;2.0;15.0;10.0;2774.0;161978.53846153847
Ferrari456M;2002.0;442.0;12.0;2.0;14.5;9.0;2774.0;225027.5
Ferrari458 Italia;2014.125;570.75;8.0;2.0;17.0;13.0;2774.0;258059.875
Ferrari550;2001.0;485.0;12.0;2.0;12.0;8.0;2774.0;227170.0
Ferrari575M;2003.0;515.0;12.0;2.0;15.5;9.0;2774.0;221966.33333333334
Ferrari599;2010.0;621.0;12.0;2.0;15.0;11.0;2774.0;334449.2
Ferrari612 Scaglietti;2010.0;532.0;12.0;2.0;16.0;9.0;2774.0;313088.0
FerrariCalifornia;2013.0;473.0;8.0;2.0;19.0;13.0;2774.0;197406.66666666666
FerrariCalifornia T;2015.0;553.0;8.0;2.0;23.0;16.0;2774.0;198973.0
FerrariEnzo;2003.0;660.0;12.0;2.0;12.0;7.0;2774.0;643330.0
FerrariF12 Berlinetta;2014.0;731.0;12.0;2.0;16.0;11.0;2774.0;317257.0
FerrariF430;2007.923076923077;483.0;8.0;2.0;16.0;11.0;2774.0;205580.23076923078
FerrariFF;2014.0;651.0;12.0;2.0;16.0;11.0;2774.0;295000.0
FerrariSuperamerica;2005.0;532.0;12.0;2.0;15.5;9.0;2774.0;287625.0
FordAerostar;1996.0;142.25;6.0;3.0;20.75;14.75;5657.0;2000.0
FordAspire;1995.857142857143;63.0;4.0;2.857142857142857;38.0;29.857142857142858;5657.0;2000.0
FordBronco;1995.0;196.33333333333334;8.0;2.0;16.22222222222222;12.11111111111111;5657.0;2697.0
FordBronco II;1990.0;140.0;6.0;2.0;20.0;15.5;5657.0;2000.0
FordC-Max Hybrid;2016.0;188.0;4.0;4.0;37.0;42.0;5657.0;25653.333333333332
FordContour;1998.75;130.625;4.25;4.0;31.0;20.625;5657.0;2009.875
FordContour SVT;1999.0;198.33333333333334;6.0;4.0;26.333333333333332;17.333333333333332;5657.0;2764.6666666666665
FordCrown Victoria;2010.0;229.0;8.0;4.0;24.0;16.0;5657.0;29671.666666666668
FordE-150;1996.923076923077;183.0;6.0;3.0;16.23076923076923;12.0;5657.0;2077.076923076923
FordE-250;1996.8;195.8;6.0;3.0;15.4;11.8;5657.0;2018.7
FordE-Series Van;2013.0;235.0;8.0;3.0;16.444444444444443;12.666666666666666;5657.0;29893.61111111111
FordE-Series Wagon;2013.0;245.0;8.0;3.0;15.333333333333334;11.666666666666666;5657.0;33477.5
FordEdge;2015.9545454545455;257.72727272727275;4.363636363636363;4.0;27.954545454545453;19.545454545454547;5657.0;34236.818181818184
FordEscape;2016.0;175.27272727272728;4.0;4.0;30.2;22.333333333333332;5657.0;27458.666666666668
FordEscape Hybrid;2010.0;177.0;4.0;4.0;29.0;31.833333333333332;5657.0;32125.0
FordEscort;2002.2222222222222;125.55555555555556;4.0;2.4444444444444446;30.88888888888889;22.77777777777778;5657.0;13867.222222222223
FordExpedition;2016.4444444444443;365.0;6.0;4.0;20.416666666666668;15.0;5657.0;56883.36111111111
FordExplorer;2016.0434782608695;305.4347826086956;5.826086956521739;4.0;23.391304347826086;16.695652173913043;5657.0;38451.30434782609
FordExplorer Sport;2002.3333333333333;203.0;6.0;2.0;18.77777777777778;14.277777777777779;5657.0;24422.222222222223
FordExplorer Sport Trac;2008.8148148148148;243.40740740740742;6.814814814814815;4.0;19.555555555555557;13.592592592592593;5657.0;30261.11111111111
FordF-150;2016.031746031746;331.87301587301585;6.666666666666667;3.619047619047619;23.317460317460316;16.936507936507937;5657.0;40747.04761904762
FordF-150 Heritage;2004.0;210.7;6.6;2.8;18.2;13.9;5657.0;24145.75
FordF-150 SVT Lightning;1998.0;320.0;8.0;2.0;15.0;11.666666666666666;5657.0;5353.0
FordF-250;1998.0;220.0;8.0;2.6666666666666665;16.708333333333332;12.458333333333334;5657.0;3280.0
FordFestiva;1992.0;63.0;4.0;2.0;37.666666666666664;30.0;5657.0;2000.0
FordFiesta;2016.0;131.0;4.0;4.0;35.095238095238095;27.142857142857142;5657.0;17126.428571428572
FordFive Hundred;2005.875;203.0;6.0;4.0;24.4375;17.9375;5657.0;25303.75
FordFlex;2016.0;300.0;6.0;4.0;22.88888888888889;16.333333333333332;5657.0;36120.833333333336
FordFocus;2016.1;157.8235294117647;3.35;4.0;47.55;39.25;5657.0;21790.5
FordFocus RS;2017.0;350.0;4.0;4.0;25.0;19.0;5657.0;36120.0
FordFocus ST;2016.0;252.0;4.0;4.0;31.333333333333332;22.333333333333332;5657.0;24523.333333333332
FordFreestar;2005.857142857143;199.0;6.0;4.0;21.428571428571427;15.571428571428571;5657.0;25788.928571428572
FordFreestyle;2005.875;203.0;6.0;4.0;23.5;17.5;5657.0;27838.75
FordFusion;2016.1176470588234;211.23529411764707;4.0;4.0;31.705882352941178;21.41176470588235;5657.0;28807.941176470587
FordFusion Hybrid;2016.1;188.0;4.0;4.0;41.0;43.6;5657.0;29005.5
FordGT;2005.5;550.0;8.0;2.0;19.0;12.0;5657.0;149995.0
FordLTD Crown Victoria;1990.5384615384614;150.0;8.0;4.0;22.0;15.0;5657.0;2000.0
FordMustang;2015.9166666666667;360.0;6.083333333333333;2.0;27.416666666666668;17.833333333333332;5657.0;32520.625
FordMustang SVT Cobra;1998.0;310.0;8.0;2.0;23.333333333333332;15.666666666666666;5657.0;4041.0
FordProbe;1995.875;135.25;4.75;2.0;27.75;21.125;5657.0;2000.0
FordRanger;2009.7837837837837;179.32432432432432;5.135135135135135;2.7027027027027026;22.756756756756758;17.91891891891892;5657.0;21340.135135135137
FordShelby GT350;2016.0;526.0;8.0;2.0;21.0;14.333333333333334;5657.0;55711.666666666664
FordShelby GT500;2013.2;639.6;8.0;2.0;23.8;15.0;5657.0;55486.0
FordTaurus;2016.0;300.8333333333333;6.0;4.0;26.11111111111111;17.666666666666668;5657.0;33592.5
FordTaurus X;2008.5;261.5;6.0;4.0;23.0;15.75;5657.0;30837.5
FordTempo;1992.8181818181818;104.0;4.363636363636363;3.272727272727273;29.272727272727273;20.636363636363637;5657.0;2000.0
FordThunderbird;2003.75;280.0;8.0;2.0;21.75;15.75;5657.0;38502.5
FordTransit Connect;2016.0217391304348;169.0;4.0;4.0;28.0;20.17391304347826;5657.0;25110.760869565216
FordTransit Wagon;2016.0;277.9166666666667;6.0;3.0;19.0;14.0;5657.0;37716.25
FordWindstar;2002.0;200.0;6.0;3.9444444444444446;21.666666666666668;16.0;5657.0;28443.61111111111
FordWindstar Cargo;2002.0;200.0;6.0;3.0;21.666666666666668;16.0;5657.0;20626.666666666668
GMCAcadia;2016.03125;270.09375;5.625;4.0;23.625;17.0625;549.0;40086.40625
GMCAcadia Limited;2017.0;281.0;6.0;4.0;22.0;15.0;549.0;44850.0
GMCCanyon;2014.4791666666667;239.9375;4.833333333333333;3.8333333333333335;24.895833333333332;18.083333333333332;549.0;28899.166666666668
GMCEnvoy;2008.0;291.55555555555554;6.666666666666667;4.0;19.944444444444443;13.944444444444445;549.0;33076.666666666664
GMCEnvoy XL;2005.125;285.25;6.5;4.0;18.125;13.0625;549.0;33925.9375
GMCEnvoy XUV;2005.0;275.0;6.0;4.0;17.5;12.5;549.0;32947.5
GMCJimmy;2000.032258064516;190.0;6.0;3.225806451612903;18.838709677419356;14.225806451612904;549.0;11239.935483870968
GMCRally Wagon;1994.3333333333333;171.66666666666666;6.666666666666667;3.0;16.0;12.666666666666666;549.0;2000.0
GMCS-15;1990.0;131.05263157894737;4.947368421052632;2.0;22.157894736842106;18.157894736842106;549.0;2000.0
GMCS-15 Jimmy;1990.6666666666667;153.33333333333334;6.0;2.6666666666666665;19.77777777777778;14.61111111111111;549.0;2000.0
GMCSafari;2004.0;190.0;6.0;3.0;17.666666666666668;13.0;549.0;25105.0
GMCSafari Cargo;2004.0;190.0;6.0;3.0;19.0;14.333333333333334;549.0;23791.666666666668
GMCSavana;2015.0588235294117;287.05882352941177;8.0;3.0;16.647058823529413;11.235294117647058;549.0;34804.117647058825
GMCSavana Cargo;2014.857142857143;280.35714285714283;7.857142857142857;3.0;16.857142857142858;11.357142857142858;549.0;31863.214285714286
GMCSierra 1500;2016.0;314.55555555555554;6.844444444444444;3.466666666666667;22.72222222222222;16.844444444444445;549.0;40312.11111111111
GMCSierra 1500 Classic;2007.0;279.2857142857143;7.714285714285714;3.510204081632653;18.3265306122449;13.918367346938776;549.0;27964.79591836735
GMCSierra 1500 Hybrid;2012.0;332.0;8.0;4.0;23.0;20.0;549.0;45193.333333333336
GMCSierra 1500HD;2006.0;300.0;8.0;4.0;17.0;13.0;549.0;33126.666666666664
GMCSierra C3;2001.0;325.0;8.0;4.0;13.0;10.0;549.0;38370.0
GMCSierra Classic 1500;1999.0;200.0;8.0;3.0;16.5;12.5;549.0;4567.0
GMCSonoma;2002.5;147.22222222222223;4.777777777777778;2.6666666666666665;21.61111111111111;16.22222222222222;549.0;18098.11111111111
GMCSuburban;1998.1666666666667;255.0;8.0;4.0;16.666666666666668;11.833333333333334;549.0;2947.6666666666665
GMCSyclone;1991.0;280.0;6.0;2.0;16.0;13.0;549.0;5667.0
GMCTerrain;2015.9310344827586;182.0;4.0;4.0;30.344827586206897;20.93103448275862;549.0;30442.58620689655
GMCTyphoon;1992.5;285.0;6.0;2.0;17.0;13.5;549.0;6392.5
GMCVandura;1994.4545454545455;174.54545454545453;6.181818181818182;3.0;19.181818181818183;14.545454545454545;549.0;2000.0
GMCYukon;2016.0;376.6666666666667;8.0;4.0;22.055555555555557;15.61111111111111;549.0;58270.555555555555
GMCYukon Denali;2000.0;255.0;8.0;4.0;15.0;11.0;549.0;3949.0
GMCYukon Hybrid;2012.0;332.0;8.0;4.0;23.0;20.0;549.0;57979.583333333336
GMCYukon XL;2016.0;376.6666666666667;8.0;4.0;21.944444444444443;15.166666666666666;549.0;60970.555555555555
GenesisG80;2017.0;347.3333333333333;6.666666666666667;4.0;25.333333333333332;16.333333333333332;21.0;46616.666666666664
HUMMERH3;2009.1;258.5;5.9;4.0;17.4;13.5;130.0;37749.0
HUMMERH3T;2009.7142857142858;265.14285714285717;6.285714285714286;4.0;17.142857142857142;13.571428571428571;130.0;34629.28571428572
HondaAccord;2016.0933333333332;211.57333333333332;4.56;3.0933333333333333;33.946666666666665;24.08;2202.0;27886.066666666666
HondaAccord Crosstour;2010.5;271.0;6.0;4.0;26.4;17.8;2202.0;33610.0
HondaAccord Hybrid;2015.3333333333333;201.0;4.0;4.0;45.666666666666664;49.666666666666664;2202.0;32316.11111111111
HondaAccord Plug-In Hybrid;2014.0;196.0;4.0;4.0;46.0;47.0;2202.0;39780.0
HondaCR-V;2015.0625;185.0;4.0;4.0;32.0;24.875;2202.0;27968.4375
HondaCR-Z;2015.0;130.0;4.0;2.0;38.5;33.5;2202.0;22288.88888888889
HondaCivic;2015.985294117647;162.02941176470588;4.0;3.323529411764706;39.455882352941174;30.16176470588235;2202.0;22517.941176470587
HondaCivic CRX;1990.5;87.33333333333333;4.0;2.0;35.5;29.0;2202.0;2000.0
HondaCivic del Sol;1996.0;130.11111111111111;4.0;2.0;31.77777777777778;25.88888888888889;2202.0;2136.4444444444443
HondaCrosstour;2014.0;245.75;5.25;4.0;29.875;20.5;2202.0;33063.75
HondaElement;2009.7142857142858;166.0;4.0;4.0;24.428571428571427;19.428571428571427;2202.0;23145.95238095238
HondaFit;2016.0;130.0;4.0;4.0;37.833333333333336;31.166666666666668;2202.0;18338.333333333332
HondaFit EV;2013.5;;0.0;4.0;105.0;132.0;2202.0;36625.0
HondaHR-V;2016.5;141.0;4.0;4.0;33.125;26.875;2202.0;22315.0
HondaInsight;2012.8;98.0;4.0;4.0;44.0;41.0;2202.0;21192.5
HondaOdyssey;2015.5333333333333;248.0;6.0;4.0;28.0;19.0;2202.0;36879.0
HondaPassport;2001.2;205.0;6.0;4.0;19.2;14.95;2202.0;22185.7
HondaPilot;2016.0625;271.25;6.0;4.0;25.895833333333332;18.3125;2202.0;36904.166666666664
HondaPrelude;2000.142857142857;199.28571428571428;4.0;2.0;24.571428571428573;19.857142857142858;2202.0;12568.857142857143
HondaRidgeline;2015.3478260869565;265.6521739130435;6.0;4.0;23.304347826086957;16.782608695652176;2202.0;34248.69565217391
HondaS2000;2008.2857142857142;237.0;4.0;2.0;24.857142857142858;18.0;2202.0;36019.28571428572
HyundaiAccent;2015.0;137.33333333333334;4.0;4.0;37.5;26.666666666666668;1439.0;15911.666666666666
HyundaiAzera;2016.0;293.0;6.0;4.0;28.333333333333332;19.5;1439.0;36500.0
HyundaiElantra;2016.0833333333333;155.875;4.0;4.0;36.291666666666664;26.625;1439.0;20437.5
HyundaiElantra Coupe;2013.25;152.625;4.0;2.0;36.5;26.5;1439.0;19458.75
HyundaiElantra GT;2016.0;173.0;4.0;4.0;32.833333333333336;24.0;1439.0;19300.0
HyundaiElantra Touring;2011.0;138.0;4.0;4.0;30.5;23.0;1439.0;18161.666666666668
HyundaiEntourage;2007.4;245.2;6.0;4.0;23.0;16.0;1439.0;26615.0
HyundaiEquus;2015.0;429.0;8.0;4.0;23.0;15.0;1439.0;65041.666666666664
HyundaiExcel;1992.909090909091;81.0;4.0;2.909090909090909;31.90909090909091;24.727272727272727;1439.0;2000.0
HyundaiGenesis;2015.125;355.75;6.75;4.0;25.5;16.375;1439.0;43306.25
HyundaiGenesis Coupe;2014.8333333333333;335.6666666666667;5.666666666666667;2.0;24.88888888888889;16.444444444444443;1439.0;30577.777777777777
HyundaiSanta Fe;2016.111111111111;290.0;6.0;4.0;23.833333333333332;17.666666666666668;1439.0;35030.555555555555
HyundaiSanta Fe Sport;2016.0;236.625;4.0;4.0;25.9375;19.25;1439.0;30525.0
HyundaiScoupe;1994.0;99.66666666666667;4.0;2.0;30.88888888888889;23.22222222222222;1439.0;2000.0
HyundaiSonata;2015.9722222222222;200.86111111111111;4.0;4.0;34.888888888888886;24.36111111111111;1439.0;25707.63888888889
HyundaiSonata Hybrid;2016.125;194.5;4.0;4.0;42.625;38.125;1439.0;28487.5
HyundaiTiburon;2006.95;161.8;5.4;2.0;25.0;17.95;1439.0;19910.0
HyundaiTucson;2016.0;173.83333333333334;4.0;4.0;28.375;23.0;1439.0;25970.833333333332
HyundaiVeloster;2014.9;165.0;4.0;3.0;34.2;26.033333333333335;1439.0;20928.333333333332
HyundaiVeracruz;2011.0;260.0;6.0;4.0;21.833333333333332;16.5;1439.0;32220.0
HyundaiXG300;2001.0;192.0;6.0;4.0;25.0;17.0;1439.0;24249.0
HyundaiXG350;2004.0;194.0;6.0;4.0;24.0;15.333333333333334;1439.0;25099.0
InfinitiEX;2012.0;306.3333333333333;6.0;4.0;24.166666666666668;17.0;190.0;37808.333333333336
InfinitiEX35;2009.0;297.0;6.0;4.0;23.5;16.5;190.0;35191.666666666664
InfinitiFX;2012.090909090909;332.72727272727275;6.545454545454546;4.0;21.545454545454547;15.545454545454545;190.0;50104.545454545456
InfinitiFX35;2009.0;293.6666666666667;6.0;4.0;21.666666666666668;15.666666666666666;190.0;41750.0
InfinitiFX45;2007.0;320.0;8.0;4.0;17.0;13.0;190.0;49900.0
InfinitiFX50;2009.5;390.0;8.0;4.0;20.0;14.0;190.0;58700.0
InfinitiG Convertible;2012.0;327.25;6.0;2.0;24.625;16.625;190.0;51750.0
InfinitiG Coupe;2011.9411764705883;336.3529411764706;6.0;2.0;25.941176470588236;18.11764705882353;190.0;44408.82352941176
InfinitiG Sedan;2011.695652173913;299.30434782608694;6.0;4.0;26.47826086956522;18.608695652173914;190.0;38393.47826086957
InfinitiG20;2001.0;145.0;4.0;4.0;28.0;20.625;190.0;17608.75
InfinitiG35;2006.9375;297.375;6.0;3.5;23.625;16.875;190.0;32884.375
InfinitiG37;2008.7692307692307;328.61538461538464;6.0;2.6153846153846154;25.153846153846153;17.53846153846154;190.0;36900.0
InfinitiG37 Convertible;2010.0;325.0;6.0;2.0;24.666666666666668;16.666666666666668;190.0;48733.333333333336
InfinitiG37 Coupe;2010.0;330.0;6.0;2.0;26.2;18.4;190.0;40730.0
InfinitiG37 Sedan;2010.0;328.0;6.0;4.0;26.0;18.333333333333332;190.0;37941.666666666664
InfinitiI30;2000.0;214.66666666666666;6.0;4.0;24.5;17.5;190.0;11904.333333333334
InfinitiI35;2003.0;255.0;6.0;4.0;24.0;17.0;190.0;29483.333333333332
InfinitiJ30;1996.4285714285713;210.0;6.0;4.0;22.0;16.0;190.0;2027.7142857142858
InfinitiJX;2013.0;265.0;6.0;4.0;23.5;18.0;190.0;41950.0
InfinitiM;2012.5;372.0;6.8;4.0;25.8;18.8;190.0;55135.0
InfinitiM30;1991.2;162.0;6.0;2.0;23.0;17.0;190.0;2000.0
InfinitiM35;2009.0;289.0;6.0;4.0;23.166666666666668;16.333333333333332;190.0;46175.0
InfinitiM37;2011.0;330.0;6.0;4.0;25.0;17.5;190.0;48125.0
InfinitiM45;2009.0;325.0;8.0;4.0;20.5;15.0;190.0;52766.666666666664
InfinitiM56;2011.0;420.0;8.0;4.0;24.0;16.0;190.0;59700.0
InfinitiQ40;2015.0;328.0;6.0;4.0;26.0;18.5;190.0;34750.0
InfinitiQ45;2004.75;340.0;8.0;4.0;22.0;15.75;190.0;57125.0
InfinitiQ50;2016.111111111111;303.55555555555554;5.444444444444445;4.0;29.38888888888889;22.083333333333332;190.0;43130.555555555555
InfinitiQ60 Convertible;2014.5;331.0;6.0;2.0;25.333333333333332;17.333333333333332;190.0;54683.333333333336
InfinitiQ60 Coupe;2015.611111111111;309.3333333333333;5.555555555555555;2.0;26.77777777777778;19.055555555555557;190.0;45647.22222222222
InfinitiQ70;2015.1739130434783;372.69565217391306;6.869565217391305;4.0;25.52173913043478;18.434782608695652;190.0;57760.86956521739
InfinitiQX;2012.5;400.0;8.0;4.0;20.0;14.0;190.0;62225.0
InfinitiQX4;2002.0;240.0;6.0;4.0;17.833333333333332;13.833333333333334;190.0;35050.0
InfinitiQX50;2015.75;325.0;6.0;4.0;24.25;17.0;190.0;36025.0
InfinitiQX56;2010.0;346.6666666666667;8.0;4.0;18.333333333333332;12.666666666666666;190.0;58150.0
InfinitiQX60;2015.8;261.0;5.2;4.0;27.1;22.1;190.0;45890.0
InfinitiQX70;2016.0;325.0;6.0;4.0;23.0;16.5;190.0;46633.333333333336
InfinitiQX80;2015.142857142857;400.0;8.0;4.0;19.714285714285715;13.714285714285714;190.0;68078.57142857143
KiaAmanti;2008.0;264.0;6.0;4.0;24.0;17.0;1720.0;25678.333333333332
KiaBorrego;2009.0;309.8888888888889;7.111111111111111;4.0;20.88888888888889;15.666666666666666;1720.0;31722.777777777777
KiaCadenza;2016.125;291.875;6.0;4.0;28.0;19.375;1720.0;38392.5
KiaForte;2015.9285714285713;175.25;4.0;3.5;33.107142857142854;24.214285714285715;1720.0;19895.0
KiaK900;2015.6;376.4;7.2;4.0;24.2;15.8;1720.0;56040.0
KiaOptima;2014.8823529411766;216.7058823529412;4.0;4.0;34.11764705882353;24.058823529411764;1720.0;27312.352941176472
KiaOptima Hybrid;2016.0;196.66666666666666;4.0;4.0;41.666666666666664;36.666666666666664;1720.0;28885.833333333332
KiaRio;2015.904761904762;138.0;4.0;4.0;36.76190476190476;27.0;1720.0;16810.238095238095
KiaRondo;2008.0;173.93333333333334;4.8;4.0;26.066666666666666;18.8;1720.0;18948.333333333332
KiaSedona;2016.0;276.0;6.0;4.0;23.8;17.8;1720.0;32976.666666666664
KiaSephia;2000.25;125.0;4.0;4.0;27.5;20.5;1720.0;7066.25
KiaSorento;2016.078947368421;260.3157894736842;5.2631578947368425;4.0;25.44736842105263;18.68421052631579;1720.0;33765.26315789474
KiaSoul;2015.0;147.0;4.0;4.0;30.5;23.666666666666668;1720.0;18046.666666666668
KiaSoul EV;2015.6;;0.0;4.0;92.0;120.0;1720.0;34250.0
KiaSpectra;2008.0434782608695;138.0;4.0;4.0;30.956521739130434;23.347826086956523;1720.0;15726.739130434782
KiaSportage;2016.0;205.38888888888889;4.0;4.0;26.333333333333332;20.27777777777778;1720.0;26725.555555555555
LamborghiniAventador;2015.0;715.0;12.0;2.0;17.25;10.583333333333334;1158.0;470050.0
LamborghiniDiablo;2001.0;550.0;12.0;2.0;12.0;9.0;1158.0;294900.0
LamborghiniGallardo;2013.28;560.8;10.0;2.0;20.0;12.84;1158.0;219844.0
LamborghiniHuracan;2015.75;602.5;10.0;2.0;20.5;14.0;1158.0;234475.0
LamborghiniMurcielago;2008.6666666666667;635.7777777777778;12.0;2.0;13.555555555555555;8.555555555555555;1158.0;374666.6666666667
LamborghiniReventon;2008.0;650.0;12.0;2.0;14.0;9.0;1158.0;1500000.0
Land RoverDefender;1995.75;182.0;8.0;2.0;14.5;12.0;258.0;33761.25
Land RoverDiscovery;2003.5;217.0;8.0;4.0;14.0;11.0;258.0;37791.666666666664
Land RoverDiscovery Series II;2001.1666666666667;188.0;8.0;4.0;16.0;12.0;258.0;29518.5
Land RoverDiscovery Sport;2016.0;240.0;4.0;4.0;25.666666666666668;20.0;258.0;41784.444444444445
Land RoverFreelander;2003.7777777777778;174.0;6.0;3.3333333333333335;19.0;15.555555555555555;258.0;27149.444444444445
Land RoverLR2;2014.0;240.0;4.0;4.0;24.0;17.0;258.0;39066.666666666664
Land RoverLR3;2008.3333333333333;300.0;8.0;4.0;17.0;12.0;258.0;49508.333333333336
Land RoverLR4;2014.9;340.0;6.0;4.0;19.0;14.3;258.0;56607.9
Land RoverRange Rover;2014.8285714285714;449.0857142857143;7.314285714285714;4.0;20.714285714285715;14.8;258.0;118229.57142857143
Land RoverRange Rover Evoque;2015.8214285714287;240.0;4.0;3.4285714285714284;29.642857142857142;20.928571428571427;258.0;50522.32142857143
Land RoverRange Rover Sport;2015.0416666666667;428.25;7.083333333333333;4.0;21.333333333333332;15.791666666666666;258.0;80022.70833333333
LexusCT 200h;2016.0;134.0;4.0;4.0;40.0;43.0;454.0;31566.666666666668
LexusES 250;1990.5;156.0;6.0;4.0;23.5;17.0;454.0;2000.0
LexusES 300;2002.0;210.0;6.0;4.0;26.0;17.666666666666668;454.0;31578.333333333332
LexusES 300h;2016.0;200.0;4.0;4.0;39.0;40.0;454.0;41140.0
LexusES 330;2005.0;222.66666666666666;6.0;4.0;27.0;18.0;454.0;32066.666666666668
LexusES 350;2015.75;268.0;6.0;4.0;30.75;21.0;454.0;38785.0
LexusGS 200t;2016.5;241.0;4.0;4.0;31.25;21.5;454.0;49797.5
LexusGS 300;2005.25;232.5;6.0;4.0;24.5;17.5;454.0;41500.0
LexusGS 350;2016.0;309.1818181818182;6.0;4.0;27.272727272727273;19.181818181818183;454.0;52623.63636363636
LexusGS 400;1999.0;300.0;8.0;4.0;21.666666666666668;15.666666666666666;454.0;3749.3333333333335
LexusGS 430;2006.0;296.6666666666667;8.0;4.0;22.666666666666668;16.0;454.0;50575.0
LexusGS 450h;2015.0;338.0;6.0;4.0;34.0;29.0;454.0;61613.333333333336
LexusGS 460;2010.0;342.0;8.0;4.0;24.0;17.0;454.0;54303.333333333336
LexusGS F;2016.0;467.0;8.0;4.0;24.0;16.0;454.0;84440.0
LexusGX 460;2016.0;301.0;8.0;4.0;19.333333333333332;15.0;454.0;56299.166666666664
LexusGX 470;2008.0;263.0;8.0;4.0;18.0;14.0;454.0;47188.333333333336
LexusHS 250h;2011.0;187.0;4.0;4.0;34.0;35.0;454.0;37388.333333333336
LexusIS 200t;2016.5;241.0;4.0;4.0;32.5;22.0;454.0;37575.0
LexusIS 250;2014.25;204.0;6.0;4.0;28.5;20.625;454.0;38511.25
LexusIS 250 C;2014.0;204.0;6.0;2.0;30.0;21.0;454.0;42943.333333333336
LexusIS 300;2009.6;231.0;6.0;4.0;24.2;17.2;454.0;34369.0
LexusIS 350;2015.0;306.0;6.0;4.0;27.0;19.0;454.0;41289.166666666664
LexusIS 350 C;2014.0;306.0;6.0;2.0;27.0;19.0;454.0;47223.333333333336
LexusIS F;2013.0;416.0;8.0;4.0;23.0;16.0;454.0;62216.666666666664
LexusLFA;2012.0;552.0;10.0;2.0;16.0;11.0;454.0;375000.0
LexusLS 400;1999.0;290.0;8.0;4.0;23.0;16.333333333333332;454.0;4599.333333333333
LexusLS 430;2005.0;286.0;8.0;4.0;23.0;16.0;454.0;56041.666666666664
LexusLS 460;2015.857142857143;372.85714285714283;8.0;4.0;23.5;16.0;454.0;78523.57142857143
LexusLS 600h L;2015.0;438.0;8.0;4.0;23.0;19.0;454.0;120313.33333333333
LexusLX 450;1996.5;212.0;6.0;4.0;14.0;12.0;454.0;3974.5
LexusLX 470;2006.0;259.3333333333333;8.0;4.0;15.333333333333334;12.0;454.0;66671.66666666667
LexusLX 570;2016.0;383.0;8.0;4.0;17.666666666666668;12.666666666666666;454.0;87146.66666666667
LexusNX 200t;2016.0;235.0;4.0;4.0;27.833333333333332;21.833333333333332;454.0;36593.333333333336
LexusNX 300h;2015.8;194.0;4.0;4.0;30.4;33.8;454.0;40356.0
